word,translation,freq,category,example,diff
light-headedness,头晕,10,metabolism,"During the test and throughout postexercise recovery, the clinician should also ",hard
linear periodization,线性周期化,1,prescription,Effects of linear periodization versus daily undulating periodization on neuromu,hard
lipid,脂质,5,physiology,Short-duration clinical experiments have demonstrated that prolonged sitting eli,medium
lipid-lowering,降脂的,3,physiology,"Special Consideration  Individuals taking lipid-lowering medications (i.e., stat",hard
lipids,脂质,9,physiology,Impact of different training modalities on glycaemic control and blood lipids in,medium
lipolytic,lipolytic溶解的,1,physiology,"Thus, regular exercise plays an important role in weight control and achieving a",hard
lipoprotein,脂蛋白,20,metabolism,Because of the cardioprotective effect of high-density lipoprotein cholesterol (,easy
lipoproteins,脂蛋白,3,metabolism,Effects of weight reduction on blood lipids and lipoproteins: a meta-analysis.,hard
living-well-with-rheumatic-disease,类风湿疾病生活管理,2,physiology,Available from: from https://www.rheumatology.org/I-Am-A/Patient- Caregiver/Dise,hard
long-acting,长效的,1,musculoskeletal,and long-acting formulations of two α2-adrenergic agonist drugs clonidine,hard
long-distance,长距离的,4,physiology,Strength training for middle- and long-distance performance: a meta-analysis.,hard
long-duration,long-dura过程,1,physiology,Hyponatremia tends to be more common in long duration physical activities and is,hard
long-standing,长期的,1,physiology,Graded motor imagery is effective for long-standing complex regional pain syndro,hard
longitudinal study,纵向研究,4,metabolism,"The Pennington Center Longitudinal Study found that BMI, along with other measur",hard
loose-fitting,宽松的,1,physiology,"Do I wear loose-fitting, porous, lightweight clothing?",hard
low back pain,腰痛,56,physiology,Intensive dynamic back exercises for chronic low back pain: a clinical trial.,easy
low-density,低密度的,7,fitness,"HDL-C, high-density lipoprotein cholesterol; LDL-C, low-density lipoprotein chol",hard
low-intensity,低强度的,3,prescription,Low-intensity resistance training to improve knee extension strength in communit,hard
lower-body,下肢的,3,physiology,"Optimal training sequences to develop lower body force, velocity, power, and jum",hard
lower-extremity,下肢,2,cardiovascular,Effects of resistance training on lower-extremity muscle power in middle-aged an,hard
lower-than-normal,lower-than-norm的,1,cardiovascular,of lower-than-normal blood sodium concentration (typically <135 mEq ∙ L−1) accom,hard
lung-disease,肺部疾病,1,physiology,"COPD encompasses chronic bronchitis and/or emphysema, and individuals may be cat",hard
lymph,淋巴,4,physiology,There i the saf resista in wom lower lymph second gynec cancer condit compl mana,hard
lymphatic,lymphat的,1,physiology,Unilateral edema of a limb often results from venous thrombosis or lymphatic blo,hard
lymphedema,淋巴水肿,13,physiology,Recommend evaluation for lower extremity lymphedema prior to vigorous aerobic ex,medium
machine-based,machine基础的,1,physiology,"machine-based strength training on maximal strength, hypertrophy and jump perfor",hard
macrovascular,大血管的,2,cardiovascular,Impact of prolonged sitting on lower and upper limb micro- and macrovascular dil,hard
maintenance phase,维持期,3,prescription,and improve fitness in the prolonged maintenance phase of stroke recovery.,hard
majewski-schrage,majewski-schr过程,1,physiology,"91. Majewski-Schrage T, Evans TA, Ragan B. Development of a core-",hard
manipulation,手法治疗,5,musculoskeletal,Undulating (nonlinear): Daily or weekly RTx manipulation.,medium
manufacturer,制造商,5,physiology,"formerly served on the scientific advisory board for Tonal Corporation, a manufa",medium
manufacturers,制造商,1,physiology,"In addition, the biomechanics for a given resistance exercise may differ signifi",hard
mar,中度急性高山病,17,physiology,Department of Health and Human Services; 2018 [cited 2019 Mar 1].,medium
mass-based,mass基础的,2,physiology,Exercise capacity in non-specific chronic low back pain patients: a lean body ma,hard
mathematical,mathematic的,1,physiology,A DXA-based mathematical model predicts midthigh muscle mass from magnetic reson,hard
maximal exercise test,最大运动试验,67,prescription,"In addition, the maximal exercise test is the gold standard to objectively measu",easy
maximal-effort,最大努力,1,physiology,"Because of the individual variation in HRmax, the upper limit of 85% of an estim",hard
maximal-versus,最大对比,1,physiology,Effects of maximal-versus submaximal-intent resistance training on functional ca,hard
mci,轻度认知障碍,3,assessment,Subsequent to the preclinical stage is a second stage characterized by both pres,hard
medical clearance,医学许可,25,rehabilitation,Although many sedentary individuals can safely begin a light-to-moderate intensi,easy
medication-related,medication相关的,1,physiology,Exercise Training Considerations  Consideration should be given to the level of ,hard
medicine-related,medicine相关的,1,assessment,in sports and exercise medicine-related fields are often,hard
medium-density,medium密度,1,fitness,Repeat the three stance positions while standing on a medium-density foam pad (4,hard
met,代谢当量,42,musculoskeletal,QuickStats: percentage of adults aged ≥18 years who met the feder- al guidelines,easy
met-h,代谢当量-小时,1,musculoskeletal,"This volume is approximately equal to (a) 1,000 kcal ∙ wk−1 of moderate intensit",hard
met-min,代谢当量-分钟,8,prescription,MET-min ∙ wk−1 and kcal ∙ wk−1 can be used to estimate exercise volume in a stan,hard
meta-analyses,荟萃分析,15,musculoskeletal,"Provided ample systematic reviews and meta-analyses, an overview of reviews can ",hard
meta-analysis,荟萃分析,204,musculoskeletal,Records were defined as a “systematic review” if they were titled as an evidence,easy
meta-analytic,meta-analytic溶解的,3,musculoskeletal,Applications of the dose-response for muscular strength development: a review of,hard
meta-analytical,meta-analytic的,2,musculoskeletal,"However, a meta-analytical report suggests a consistency among studies indicatin",hard
meta-regression,荟萃回归,11,musculoskeletal,A meta-regression of the effects of resistance training frequency on muscular st,hard
meta-regressions,荟萃回归,2,musculoskeletal,The resistance training dose-response: meta-regressions exploring the effects of,hard
meta-review,荟萃综述,1,musculoskeletal,activity as a treatment for severe mental illness: a meta-review of the,hard
metab,代谢,22,musculoskeletal,tematic review and meta-analysis. Appl Physiol Nutr Metab.,easy
metabolic,代谢的,163,musculoskeletal,Appendix D: Metabolic Calculations and Methods for Prescribing Exercise,easy
metabolic equivalent,代谢当量,22,prescription,"HbA1C, glycated hemoglobin; MET, metabolic equivalent; non-HDL-C, total choleste",easy
metabolic syndrome,代谢综合征,35,musculoskeletal,"Accordingly, resistance training may be effective for preventing and treating th",easy
metabolic-syndrome,代谢综合征,1,musculoskeletal,"Accordingly, resistance training may be effective for preventing and treating th",hard
metabolically,代谢地,3,musculoskeletal,These agents cross cell membranes of metabolically active tissue either actively,hard
metabolism,代谢,14,physiology,Short-duration clinical experiments have demonstrated that prolonged sitting eli,medium
metal,met的,1,musculoskeletal,"Contact frostbite may occur by touching cold objects with bare skin, particularl",hard
metastases,转移,9,musculoskeletal,Bone metastases: Cancer survivors with bone metastases are at an increased risk ,medium
metastasis,metastasis停滞,2,musculoskeletal,There is always a risk that metastasis to the bone or cardiac toxicity secondary,hard
metastatic,转移的,12,musculoskeletal,Individuals with known metastatic disease to the bone will require evaluation to,medium
meters,米,4,musculoskeletal,"BMI, or the Quetelet index, is used to assess weight relative to height and is c",hard
metformin,二甲双胍,1,cardiovascular,Reduction in the incidence of type 2 diabetes with lifestyle intervention or met,hard
methacholine,乙酰甲胆碱,2,musculoskeletal,Guidelines for methacholine and exercise challenge testing-1999.,hard
methodol,方法学,2,musculoskeletal,ity of systematic reviews. BMC Med Res Methodol. 2007;7:10.,hard
methodological,方法学的,9,musculoskeletal,Methodological Quality Assessment and Evidence Synthesis The methodological qual,hard
methylphenidate,哌甲酯,3,musculoskeletal,It has been demonstrated that exercise can enhance the effects of stimulants (i.,hard
metric,metr的,1,musculoskeletal,The metric properties of a novel non-motor symptoms scale for Parkinson’s diseas,hard
metrics,指标,6,musculoskeletal,"Compar- ison of weightlifting, traditional resistance training and plyo- metrics",medium
metronome,节拍器,1,cardiovascular,There are self-paced step test alternatives that do not rely on a metronome for,hard
mets,代谢当量,73,prescription,"METs are a useful, convenient, and standardized method for quantifying the absol",easy
metsyn,代谢综合征,23,prescription,Metabolic syndrome (Metsyn) is partially defined by the presence of high TG leve,easy
microvascular,微血管的,1,cardiovascular,levels place individuals at risk for long-term complications such as microvascul,hard
midbrain,中脑,1,cardiovascular,The motor features of PD are the result of degeneration of the dopaminergic nigr,hard
middle-aged,中年的,14,cardiovascular,The efficacy of differ- ent interventions in the treatment of sarcopenia in midd,hard
mild cognitive impairment,轻度认知障碍,4,cardiovascular,Subsequent to the preclinical stage is a second stage characterized by both pres,hard
mini-bestest,Mini-BESTest平衡测试,2,cardiovascular,"For individuals with PD, clinical balance tests include the functional reach tes",hard
mini-finland,迷你芬兰,1,cardiovascular,Obesity and muscle strength as long-term determinants of all-cause mortality — a,hard
minimal clinically important difference,最小临床重要差异,1,cardiovascular,The minimal clinically important difference in 6- MWT distance has been reported,hard
minimal detectable change,最小可检测变化,1,cardiovascular,,hard
minimal-dose,最小剂量,2,cardiovascular,There was insufficient evidence to form recommendations on emerging RTx strategi,hard
misdiagnosis,misdiagnosis症,1,cardiovascular,"However, torso-placed limb leads should be noted for all ECG tracings to avoid m",hard
mitochondrial,线粒体的,5,physiology,Resistance training increases muscle mitochondrial biogenesis in patients with c,hard
mobility-limited,活动受限的,1,cardiovascular,The relationship between leg power and physical performance in mobility-limited ,hard
mobilization,mobil化,2,rehabilitation,"mobilization, education regarding lifestyle behaviors in controlling CVD",hard
modalities,方式/模式,24,physiology,Exercise training modalities in patients with type 2 diabetes mellitus: a system,easy
modality,方式,14,physiology,"treadmill) for the exercise test can impact the result, as performance is relate",medium
moderate intensity,中等强度,78,prescription,"Collectively, the intent of these statements was to increase public awareness of",easy
moderate-altitude,中等海拔,1,physiology,“Living high-training low”: effect of moderate-altitude acclimatization with low,hard
moderate-intensity,中等强度的,3,prescription,"Collectively, the intent of these statements was to increase public awareness of",hard
moderate-slow,中慢速,1,physiology,"versus moderate-slow (>2 s) contractions, morning ver-",hard
moderate-to-vigorous physical activity,中高强度体力活动,2,prescription,Health benefits can be experienced following just a single bout of moderate-to-v,hard
molecular-level,molecular水平,1,physiology,Multi-component molecular-level body composition reference methods: evolving con,hard
monotherapy,单药治疗,1,cardiovascular,These drugs may be used as a monotherapy or adjunct therapy to provide symptomat,hard
more-than-just-shyness,more-than-just-shy状态,1,physiology,more-than-just-shyness/index.shtml,hard
motor-complete,运动完全性的,4,physiology,SCI may lead to either motor-complete (AIS A and B) or motor-incomplete (AIS C a,hard
motor-driven,马达驱动的,3,physiology,Exercise testing is typically performed on a motor-driven treadmill or an electr,hard
motor-incomplete,运动不完全的,2,physiology,SCI may lead to either motor-complete (AIS A and B) or motor-incomplete (AIS C a,hard
movement-specific,movement特异性的,1,cardiovascular,Each single exercise session should be designed with a training goal in mind and,hard
multi-component,multi-compon的,1,physiology,Densitometry has been used as a reference or criterion standard for assessing bo,hard
multi-ethnic,多种族的,4,physiology,"Physical activity, sedentary behaviors and the incidence of type 2 diabetes mell",hard
multi-joint,多关节,1,physiology,ND Type: Single-joint vs multi-joint ?,hard
multi-level,multi水平,1,physiology,Influence of weather on daily symptoms of pain and fatigue in female patients wi,hard
multi-organ,多器官,1,physiology,Multi-organ autonomic dysfunction in Parkinson disease.,hard
multimodal,多模式的,3,physiology,"Therefore, the Ex Rx for individuals with hypertension no longer place an emphas",hard
multiple sclerosis,多发性硬化,51,musculoskeletal,"Cox, MS University of Massachusetts Amherst Amherst, Massachusetts Chapter 6: Ex",easy
multiple-joint,多关节,1,physiology,Increasing muscle power in healthy older adults should include both single- and ,hard
multiple-sclerosis-information-page,multiple-sclerosis-information-p过程,1,physiology,Disorders/Multiple-Sclerosis-Information-Page,hard
muscle-strengthening,肌肉强化,9,physiology,Most guidelines call for healthy adults to complete “muscle-strengthening activi,hard
muscular endurance,肌肉耐力,29,fitness,Muscular Endurance The impact of RT versus CTRL and distinct RTx variables on mu,easy
muscular fitness,肌肉适能,44,physiology,"Notably, others have esti- mated that developing general muscular fitness (stren",easy
muscular power,肌肉爆发力,16,fitness,Muscular Power Muscular power is the rate of performing work.,hard
muscular strength,肌肉力量,69,fitness,"output to improve muscular strength, power, endurance,",easy
musculotendinous,肌腱的,4,cardiovascular,This type of stretching results in improvements in ROM that can be a result of d,hard
mvpa,中高强度体力活动,6,prescription,Health benefits can be experienced following just a single bout of moderate-to-v,medium
myocardial,心肌的,90,cardiovascular,Adverse cardiovascular events such as sudden cardiac death (SCD) and acute myoca,easy
myocardial infarction,心肌梗死,36,cardiovascular,Adverse cardiovascular events such as sudden cardiac death (SCD) and acute myoca,easy
myocarditis,myocarditis炎,3,metabolism,Possible myocarditis,hard
myocardium,心肌,3,physiology,"However, exercise cessation can cause an excessive drop in venous return resulti",hard
natural-altitude,自然海拔,1,physiology,"natural-altitude environment (i.e., hypobaric hypoxia) for inducing functionally",hard
naughton,Naughton方案,4,metabolism,The modified Naughton treadmill protocol is a good example of such a protocol (s,hard
nchpad-cift,NCHPAD-CIFT,1,cardiovascular,"Brian J. Coyne, Med, ACSM-CEP, ACSM/NCHPAD CIFT, RCEP",hard
near-continuous,near-continu的,1,physiology,"continuous or near-continuous sweating, hyponatremia can be prevented by practic",hard
near-fatiguing,接近疲劳的,1,physiology,"and near-fatiguing effort are applied; however, not all",hard
near-maximal,近最大强度的,4,physiology,The relative risk of SCD and AMI during vigorous-to-near maximal intensity exerc,hard
near-normal,near-norm的,1,cardiovascular,Exercise intolerance and functional disability often persist after lung transpla,hard
near-resting,接近静息的,1,physiology,"Nonetheless, cool-downs may be useful to allow the body to return to near-restin",hard
necessitates,使成为必要,1,fitness,"We note that in some populations, due to inexperience (and potential safety conc",hard
necessitating,使成为必要,2,fitness,The information may also uncover uncertainties about an individual’s ability to ,hard
necessity,necess性质,1,fitness,"Symptoms and concomitant conditions affect individuals’ quality of life, highlig",hard
negative predictive value,阴性预测值,2,rehabilitation,The negative predictive value is the percentage of individuals with a negative t,hard
nephropathy,nephropathy病,3,physiology,Potential complications/contraindications may affect the appropriateness of some,hard
nerve,神经,5,physiology,These individuals are commonly recommended to receive an implanted phrenic nerve,medium
neural,神经的,7,physiology,This type of stretching results in improvements in ROM that can be a result of d,medium
neuritis,neuritis炎,2,physiology,"This leads to the observed clinical symptoms of MS (e.g., optic neuritis, ataxia",hard
neurobiological,neurobi学的,1,metabolism,Affect is a neurobiological state that encompasses (often involuntary) physiolog,hard
neurocognitive,neurocogni的,1,physiology,"Additionally, nonpharmacological treatments, such as dietary, neurocognitive, an",hard
neurodegener,神经退行性,2,physiology,multiple sclerosis: synthesis of meta-analytic reviews. Neurodegener Dis Manag. ,hard
neurodegeneration,神经退行性变,3,physiology,The resulting effects of these immune responses include axonal or neuronal loss ,hard
neurodegenerative,neurodegener的,3,physiology,"those younger than 65 yr. Additionally, the neurodegenerative and",hard
neurodevelopmental,neurodevelopment的,1,physiology,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER Attention-deficit/hyperactivity disorde,hard
neurofibrillary,neurofibrill的,2,physiology,Alzheimer’s disease is primarily characterized by two hallmark pathological feat,hard
neurogenesis,神经发生,2,physiology,"exercise on neurogenesis and neuroplasticity, and establish the combination",hard
neuroglycopenic,neuroglycopen的,1,cardiovascular,"More severe neuroglycopenic symptoms may include headache, visual disturbances, ",hard
neuroimage,neuroim过程,1,physiology,Neuroimage Clin.,hard
neuroimaging,神经影像,1,metabolism,"Typically, CP is diagnosed between 12 and 24 mo of age, using a combination of s",hard
neuroimmune,神经免疫,1,physiology,Parkinson’s disease. J Neuroimmune Pharmacol. 2013;8(1):189–201.,hard
neurol,神经病学,46,physiology,Acta Neurol Scand.,easy
neurologic,神经病学的,5,metabolism,Rating neurologic impairment in multiple sclerosis: an expanded disability statu,medium
neurological,神经学的,15,metabolism,"Transient episodes of neurological deficits, known as relapses, characterize ear",medium
neurologically,神经学上,2,metabolism,"Therefore, recommendations for resistance exercise in neurologically healthy old",hard
neurologist,neur学家,2,metabolism,"Therefore, clinicians should consult with a neurologist prior to performing the ",hard
neurology,神经病学,11,physiology,spinal cord injury: a systematic review. Neurology. 2017;89:736–45.,medium
neuromodulation,neuromodula过程,1,musculoskeletal,"neuromodulation (i.e., epidural or transcutaneous spinal cord stimulation), and ",hard
neuromotor,神经运动,30,musculoskeletal,Quantity and quality of exercise for developing and maintaining cardiorespirator,easy
neuromuscular,神经肌肉的,46,musculoskeletal,Chronic effects of different intensities of power training on neuromuscular para,easy
neuromuscular electrical stimulation,neuromuscular electrical stimula过程,2,rehabilitation,Individuals with SCI at or above the T6 level are likely to experience AD (sudde,hard
neuron,神经元,1,physiology,"Those with neurological conditions (i.e., muscular dystrophy, multiple sclerosis",hard
neuronal,神经元的,4,physiology,Evidence suggests that EAMCs may be more related to muscle fatigue and neuronal ,hard
neurons,神经元,2,physiology,"growth of new neurons or the protection of neurons. Therefore, there are",hard
neuropathies,神经病变,4,physiology,Sustained elevated blood glucose levels place individuals at risk for long-term ,hard
neuropathological,neuropath学的,2,metabolism,neuropathological processes associated with the disease begin one to two,hard
neuropathology,neuropath学,1,physiology,mitigate the effect of neuropathology or reduce the accumulation of,hard
neuropathy,神经病变,17,physiology,Potential complications/contraindications may affect the appropriateness of some,medium
neurophysiological,neurophysi学的,1,metabolism,"Exercise, mood and cognitive performance in intellectual disability — a neurophy",hard
neuroplasticity,神经可塑性,3,assessment,The effects of exercise on dopamine neurotransmission in Parkinson’s disease: ta,hard
neuroprotection,neuroprotec过程,1,rehabilitation,Neuroprotection and neurorestoration as experimental therapeutics for Parkinson’,hard
neuroprotective,神经保护性的,4,rehabilitation,"Therefore, there are grounds for cautious optimism that exercise will be shown t",hard
neuropsychologist,神经心理学家,4,metabolism,"In cases of more severe memory impairments, strength testing becomes more hazard",hard
neurorehabilitation,neurorehabilita过程,1,rehabilitation,NeuroRehabilitation.,hard
neurorestoration,neurorestora过程,1,physiology,Neuroprotection and neurorestoration as experimental therapeutics for Parkinson’,hard
neurosci,神经科学,5,musculoskeletal,Neurosci Biobehav Rev.,medium
neuroscience,神经科学,3,musculoskeletal,A neuroscience approach to managing athletes with low back pain.,hard
neurosurg,神经外科,3,physiology,in adults with Down syndrome. World Neurosurg. 2014;82(1–2):215–8.,hard
neurotransmission,neurotransmis过程,1,cardiovascular,The effects of exercise on dopamine neurotransmission in Parkinson’s disease: ta,hard
neurotransmitter,神经递质,1,cardiovascular,The motor features of PD are the result of degeneration of the dopaminergic nigr,hard
neurotrophic,neurotroph的,2,physiology,Treadmill exercise and methylphenidate ameliorate symptoms of attention deficit/,hard
neurotropic,neurotrop的,1,physiology,exercise-induced increases in blood brain-derived neurotropic factor,hard
newly-diagnosed,newly诊断的,1,cardiovascular,Life expectancy of patients with newly-diagnosed HIV infection in the era of hig,hard
nfci,非接触性心脏指数,2,assessment,Diagnosing NFCI involves observation of clinical symptoms over time as different,hard
nmes,神经肌肉电刺激,2,rehabilitation,Individuals with SCI at or above the T6 level are likely to experience AD (sudde,hard
nmes-resistance,神经肌肉电刺激抗阻,2,rehabilitation,Paralyzed muscle groups can now be exercised using surface NMES-resistance train,hard
non-caucasian,非caucasian,1,cardiovascular,"Major risk factors for PAD include diabetes, hypertension, smoking, dyslipidemia",hard
non-electrocardiogram,非electrocardiogram,1,cardiovascular,vigorous intensity exercise program if non-electrocardiogram (ECG) markers such ,hard
nondiagnostic,nondiagnost的,1,cardiovascular,aAssumes that testing is nondiagnostic and is being performed without electrocar,hard
nondialysis,nondialysis溶解,1,cardiovascular,"However, in individuals receiving maintenance hemodialysis, testing should be sc",hard
nonfreezing cold injury,非冻结性冷伤,1,cardiovascular,Diagnosing NFCI involves observation of clinical symptoms over time as different,hard
nonspecific low back pain,非特异性腰痛,3,cardiovascular,European guidelines for the management of acute nonspecific low back pain in pri,hard
nonsteroidal,非甾体类的,4,cardiovascular,Pharmaceutical treatment of OA primarily involves analgesics and topical and ora,hard
noradrenaline,去甲肾上腺素,1,cardiovascular,"nonstimulants (e.g., selective noradrenaline reuptake inhibitor atomoxetine",hard
norm-referenced,norm参照的,2,cardiovascular,"If injuries are motor-complete, voluntary arm-crank ergometry is the easiest to ",hard
normal-weight,正常体重,1,cardiovascular,Increased waist circumference can also be a marker for increased risk even in in,hard
north-holland,北荷兰,1,cardiovascular,Amsterdam (NY): Elsevier/North-Holland Biomedical Press; 1980.,hard
novelty-seeking,新奇寻求,1,cardiovascular,"with PD such as hyposmia, anhedonia, lack of novelty-seeking behavior,",hard
nurse-managed,护士管理的,1,physiology,nurse-managed.,hard
nutrition-potsdam,波茨坦营养,1,physiology,Television watching and incident diabetes: findings from the European Prospectiv,hard
obesity-adults-evidence-report,肥胖成人证据报告,1,prescription,"Clinical guidelines on the identification, evaluation, and treatment of overweig",hard
obesity-related,肥胖相关的,6,fitness,"An increased risk of obesity-related diseases, health conditions, and mortality ",hard
official-positions,官方立场,5,fitness,ONLINE RESOURCES American College of Sports Medicine position stand on overweigh,hard
older adult,老年人,155,physiology,"In general, these publications offered some recommendations that are similar to ",easy
olympic-style,奥林匹克式,12,physiology,Technique Olympic-style weightlifting: Snatch and clean-and-jerk movements.,hard
omni,OMNI量表,11,physiology,Omni scale perceived exertion responses in obese and normal weight male adolesce,medium
omni scale,OMNI量表,3,prescription,Omni scale perceived exertion responses in obese and normal weight male adolesce,hard
oncologist,onc学家,1,metabolism,heterogeneous cohort of adult cancer patients. Oncologist. 2014;19(9):999–1005.,hard
oncology,肿瘤学,6,physiology,Given the lack of precision regarding the definition of “significant” side effec,medium
open-access,开放获取,1,cardiovascular,This is an open-access article distributed under the terms of the Creative Commo,hard
open-circuit,开放回路,2,cardiovascular,Open circuit spirometry is used to measure V∙ O2max during a graded incremental ,hard
open-circuit spirometry,开放式肺量计,1,musculoskeletal,Open circuit spirometry is used to measure V∙ O2max during a graded incremental ,hard
open-ended,开放式的,1,cardiovascular,"A motivational interviewing approach explores why people aren’t active, asks ope",hard
opposite,相反的,1,fitness,The toes of the opposite foot are used to push the anterior block as far forward,hard
orthopnea,端坐呼吸,3,physiology,Orthopnea or paroxysmal nocturnal dyspnea Orthopnea refers to dyspnea occurring ,hard
orthostasis,orthostasis停滞,1,physiology,"Symptomatic orthostasis, fainting, light-",hard
osteoarthritis,骨关节炎,18,musculoskeletal,Resistance training can reduce pain and disability in individuals with osteoarth,hard
osteogenic,osteogenic源的,1,physiology,"Additionally, more limited evidence suggests that combined resistance and higher",hard
osteopathic,osteopath的,1,physiology,"Beck, PhD Edward Via College of Osteopathic Medicine—Auburn Campus Auburn, Alaba",hard
osteopenia,骨量减少,6,cardiovascular,"In addition, reviews of the effect of exercise on bone density indicate that, de",medium
osteopenic,osteopen的,2,cardiovascular,Recent evidence does indicate a minimum frequency of two exercise sessions per w,hard
osteoporos,骨质疏松,9,physiology,Osteoporos Int.,medium
otero-sabogal,otero-sabog的,1,physiology,"109. Pasick RJ, D’Onofrio CN, Otero-Sabogal R. Similarities and",hard
outcome-level,outcome水平,2,physiology,Outcome-level quality of evi- dence (QoE) was calculated using a method based on,hard
over-ground,过度ground,1,physiology,RCTs have been unable to establish the superiority of BWSTT compared to over gro,hard
overload principle,超负荷原则,3,assessment,The overload principle of training states that exercising below a minimum intens,hard
oxidative,氧化性的,4,physiology,Abnormalities in skeletal muscle histochemistry limit oxidative capacity of the ,hard
oximetry,血氧测定法,11,musculoskeletal,Measurement of expired gases through open circuit spirometry during a CPET and o,medium
oxyhemoglobin,氧合血红蛋白,5,physiology,Exercise Testing  Assessment of physiologic function should include evaluations ,hard
pad,外周动脉疾病,32,cardiovascular,Resistance training positively affects walking distance and velocity in those wi,easy
paguidelines,体力活动指南,16,physiology,government (see https://health.gov/paguidelines/2008/) (5).,medium
pain-related,pain相关的,2,physiology,Exercise Testing Individuals with acute or subacute LBP appear to vary in their ,hard
par-q,体力活动准备问卷,14,prescription,"In the absence of professional assistance, interested individuals may use the Ph",hard
paralysis,paralysis溶解,3,physiology,SCI may lead to either motor-complete (AIS A and B) or motor-incomplete (AIS C a,hard
parameter,参数,1,musculoskeletal,,hard
parameters,参数,19,musculoskeletal,"The reviews, which contributed evidence for the impact of a prescription variabl",medium
paraplegia,截瘫,8,musculoskeletal,Incomplete injuries are the most frequent neurological classification (45.8% and,medium
paraspinal,paraspin的,1,physiology,Multifidus and paraspinal muscle group cross- sectional areas of patients with l,hard
parkinson disease,帕金森病,19,musculoskeletal,"Myers, PhD, FACSM, ACSM-CEP, PD VA Palo Alto Health Care System Palo Alto, Calif",hard
partial range,部分范围,1,prescription,"Partial range of motion: Performing RT through an incomplete range of motion, co",hard
pathoanatomical,pathoanatomic的,2,cardiovascular,"pathoanatomical cause), which encompass over 85% of all cases (29). For",hard
pathogenesis,发病机制,4,physiology,Differential effects of fasting and dehydration in the pathogenesis of diabetic ,hard
pathogens,病原体,1,physiology,"infection with other significant pathogens transmitted through air, fluids, or c",hard
pathologic,path学的,2,metabolism,Health care professionals should know the pathologic conditions associated with,hard
pathological,病理的,7,metabolism,Aetiology of sudden cardiac death in athletes in the United Kingdom: a pathologi,medium
pathologies,病理,1,metabolism,"Although ventricular ectopy is more common with some pathologies, such as cardio",hard
pathology,病理学,6,physiology,"When LBP is a symptom of another serious pathology (e.g., cancer), exercise test",medium
pathophysiological,pathophysi学的,1,metabolism,Uncertainty exists as to whether Metsyn is a distinct pathophysiological entity ,hard
pathophysiology,病理生理学,7,physiology,Pathophysiology of human visceral obesity: an update.,hard
patient-caregiver,患者-照护者,2,metabolism,Available from: https://www.rheumatology.org/I-Am- A/Patient-Caregiver/Diseases-,hard
patient-hours,患者小时数,7,physiology,"Older but still relevant research found 1 nonfatal complication per 34,673 patie",hard
patient-reported,patient报告的,1,prescription,Cardiac rehabilitation improves functional capacity and patient-reported health ,hard
patients-families,患者-家属,1,cardiovascular,Anxiety disorders: https://www.psychiatry.org/patients-families/anxiety-,hard
peaking,巅峰状态,1,cardiovascular,"and peaking for specific goals. Thus, it may be that the",hard
pedometer,计步器,1,cardiovascular,"Self-monitoring of exercise can be in the form of a paper-and-pencil log, a hear",hard
pedometers,计步器,3,cardiovascular,"Related strategies or interventions may include recommending community, home, or",hard
percentage of one-repetition maximum,1RM百分比,2,prescription,"%1RM, percentage of one-repetition maximum; RM, repetition maximum; RT, resistan",hard
performance-based,performance基础的,1,cardiovascular,performance-based settings. A review of 51 studies found the risks of fatal (0.2,hard
performance-oriented,表现导向的,1,cardiovascular,Available assessments include the Performance-Oriented Mobility Assessment and t,hard
performance-related,表现相关的,3,cardiovascular,"It should also be noted, however, that muscle fitness is an integral part of per",hard
peri-menopausal,周围menopausal,1,cardiovascular,Effect of exercise programs on symptoms of fibromyalgia in peri-menopausal age w,hard
pericardial,心包的,2,cardiovascular,Consensus Statement of the Study Group of Sport Cardiology of the Working Group ,hard
pericarditis,心包炎,3,metabolism,"Chamber enlargement, ischemia, drug effects, bundle branch blocks, or electrolyt",hard
periodization,周期化训练,17,cardiovascular,"Training to momentary muscle fatigue, equipment type, exercise complexity, set s",hard
peripheral artery disease,外周动脉疾病,14,cardiovascular,Resistance training positively affects walking distance and velocity in those wi,hard
perpendicular,垂直的,5,cardiovascular,"Calf: With the individual standing (feet apart ~20 cm), a horizontal measure is ",hard
perpetuating,持续的,1,cardiovascular,Psychosocial factors that increase the risk of developing or perpetuating long-t,hard
person-hours,人时,1,cardiovascular,An analysis of exercise-related cardiovascular events among participants at YMCA,hard
pharmacology,药理学,4,physiology,The primary sources used to extract the information in Table A.1 are Pharmacolog,hard
pharmacotherapy,药物治疗,6,physiology,EIB can be successfully managed with pharmacotherapy (120).,hard
phenylketonuria,phenylketonuria尿症,1,physiology,"Down syndrome [DS], fragile X syndrome, phenylketonuria) (168), and",hard
phlebitis,phlebitis炎,1,physiology,"blood dyscrasias (e.g., lupus erythematosus); phlebitis, deep vein thrombosis, o",hard
photoplethysmography,光电容积描记法,2,physiology,Light-based technology based on photoplethysmography is now integrated into wear,hard
physical activity monitor,体力活动监测仪,1,assessment,,hard
physical activity readiness questionnaire,体力活动准备问卷,5,prescription,"In the absence of professional assistance, interested individuals may use the Ph",hard
physical inactivity,体力活动不足,19,physiology,"Consequently, the burden of physical inactivity continues to grow with escalatin",hard
physical-activity,体力活动,2,physiology,physical activity (PA) in preventing and treating chronic diseases.,hard
